Gene names;LFQ intensity BUL_103;LFQ intensity BUL_30;LFQ intensity BUL_40;LFQ intensity BUL_47;LFQ intensity BUL_48;LFQ intensity BUL_5;LFQ intensity BUL_82;LFQ intensity BUL_90;LFQ intensity BUL_91;LFQ intensity MUL_11;LFQ intensity MUL_12;LFQ intensity MUL_22;LFQ intensity MUL_33;LFQ intensity MUL_54;LFQ intensity MUL_61;LFQ intensity MUL_78;LFQ intensity UL_1;LFQ intensity UL_15;LFQ intensity UL_21;LFQ intensity UL_34;LFQ intensity UL_4;LFQ intensity UL_50;LFQ intensity UL_51;LFQ intensity UL_6;Razor + unique peptides;Unique peptides;Q-value;Score;Intensity;MS/MS count;Protein IDs;Majority protein IDs;Protein names;Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
RNPEP;23.15737;24.94503;24.18533;21.57865;23.16644;20.7854;24.01052;23.85538;23.8469;22.87277;23.47778;24.10749;23.88148;23.15207;26.22415;23.76608;23.20337;23.18615;23.70102;22.41738;23.4086;21.35456;16.65298;22.43952;36;36;0;323.31;4670300000;286;"Q9H4A4;A6NKB8;A0A087WU27;C9JMZ3;A0A087WUS4;H7C2T3";"Q9H4A4;A6NKB8";Aminopeptidase B;;;;;;;;;;;;
ROCK1;22.07561;20.556;21.8595;21.53635;22.05659;21.09648;23.22049;20.93049;20.87207;21.39116;21.25989;21.6608;21.6891;20.88933;19.48493;20.04713;22.24571;21.56667;21.74333;23.898;21.2731;17.82385;14.35358;21.21092;50;42;0;110;1263400000;124;"Q13464;A0A0U1RQV4;J3KRH6";"Q13464;A0A0U1RQV4";Rho-associated protein kinase 1;;;;;;;;;;;;
ROCK2;22.02476;19.70442;22.27131;19.60713;22.01124;20.26476;22.55117;20.76012;20.43125;21.71632;20.65307;21.02722;21.70915;21.28195;21.17889;20.39759;21.93002;19.99742;21.90283;22.647;22.48616;20.64227;15.39858;20.32915;33;33;0;59.019;921590000;95;"O75116;E9PF63;Q14DU5;D6REE7;C9JFJ0";"O75116;E9PF63";Rho-associated protein kinase 2;;;;;;;;;;;;
RP2;22.47581;19.49943;23.99187;24.61757;22.36858;22.06003;23.28093;21.26854;21.55946;23.43224;20.87305;23.19722;22.69772;23.37624;20.80144;23.93526;23.47346;22.07248;21.81913;23.48959;22.77864;22.76304;21.43212;22.53015;13;13;0;41.507;2940300000;121;O75695;O75695;Protein XRP2;;;;;;;;;;;;
RPL10;25.21945;21.68423;24.45413;18.01083;25.64779;20.88517;24.03909;24.03532;24.65332;21.3714;21.66184;23.28954;22.71549;23.29866;22.78449;22.60411;22.98551;25.38768;25.12313;24.91771;26.10929;22.56134;19.63137;23.993;19;4;0;238.37;5580300000;193;"P27635;X1WI28;B8A6G2;A6QRI9;Q96L21";"P27635;X1WI28";60S ribosomal protein L10;;;;;;;;;;;;
RPL10A;25.90892;22.5646;23.48001;17.19505;24.81538;20.26109;25.41015;25.35121;25.2716;22.35334;23.48824;23.32402;23.15295;23.90123;23.74417;22.83884;20.61944;24.70957;23.12233;22.65285;23.37292;22.38277;22.89265;23.32828;12;12;0;61.267;5751300000;227;P62906;P62906;60S ribosomal protein L10a;;;;;;;;;;;;
RPL11;24.52444;22.82914;23.70746;19.29152;24.12471;21.53953;24.06595;24.22766;23.97141;22.35081;23.0163;23.03414;22.46595;22.4528;22.36025;22.76195;21.7228;23.36185;21.89781;23.5545;25.01797;20.93718;19.35866;24.16561;14;2;0;65.69;3359200000;110;"P62913;Q5VVC8;Q5VVC9";"P62913;Q5VVC8";60S ribosomal protein L11;;;;;;;;;;;;
RPL12;24.47284;21.26859;22.70559;20.02188;23.42726;18.41314;24.48308;23.52289;23.82221;23.01766;22.74866;21.95284;22.35437;22.46344;22.08378;23.10946;21.09487;23.12892;23.18107;23.71009;24.45676;20.53583;19.40559;22.66577;9;9;0;174.47;3125900000;149;"P30050;P30050-2";"P30050;P30050-2";60S ribosomal protein L12;;;;;;;;;;;;
RPL13;24.21371;22.72495;22.8953;17.488;22.74968;19.31548;22.53943;22.41815;23.24207;22.34687;22.54873;21.2267;21.78967;23.29039;21.73393;22.40948;21.22376;23.34096;22.64077;22.50673;24.70224;22.23146;18.34826;23.5715;14;14;0;68.131;2147700000;116;"P26373;P26373-2;J3QSB4;H3BTH3;J3KS98;H3BUK8";"P26373;P26373-2;J3QSB4";60S ribosomal protein L13;;;;;;;;;;;;
"RPL13A;RPL13a";24.08375;21.55922;21.94621;18.73992;23.39754;20.36464;22.90204;22.25635;23.36386;21.93531;21.43018;20.96853;21.15832;22.31664;20.98384;20.23911;21.20675;23.69498;23.21894;23.48308;23.67411;21.7516;17.02128;23.71597;13;13;0;21.032;2034900000;123;"P40429;M0QYS1;Q8J015;Q6NVV1;M0QZU1;A0A096LPE0";"P40429;M0QYS1;Q8J015";60S ribosomal protein L13a;;;;;;;;;;;;
RPL14;25.04868;20.6897;22.13643;20.14208;24.90109;19.8124;24.79655;23.7543;24.26878;21.10987;21.91601;22.82452;22.32627;23.10478;22.93557;23.67044;22.89981;23.98546;23.03;23.92388;24.81235;21.94031;20.41586;24.36506;9;9;0;29.334;4724200000;128;"P50914;E7EPB3";"P50914;E7EPB3";60S ribosomal protein L14;;;;;;;;;;;;
RPL15;25.31986;22.37669;23.68955;20.58389;25.26055;22.35805;23.39454;23.88194;24.74057;23.03137;23.48431;23.16711;23.0384;23.37703;23.31299;22.19752;22.13646;24.57542;23.58623;25.66568;25.5346;23.0223;21.17621;24.62706;12;12;0;154.39;5041300000;138;"P61313;E7EQV9;E7ENU7;E7EX53;P61313-2;E7ERA2";"P61313;E7EQV9;E7ENU7;E7EX53";"60S ribosomal protein L15;Ribosomal protein L15";;;;;;;;;;;;
"RPL17;RPL17-C18orf32";25.61203;22.3356;23.57115;18.1869;24.90697;18.38264;23.22979;23.53517;25.00612;21.38068;22.93496;22.08764;21.82738;22.66316;23.66579;22.73508;20.91903;22.79935;22.11934;22.22588;23.40093;20.27753;19.68714;23.95296;16;16;0;82.544;3420800000;155;"P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621-3;J3QLC8;A0A0A0MRF8;P18621-2;J3KRB3;A0A087WWH0;J3QS96;A0A087WY81;J3KSJ0";"P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621-3;J3QLC8;A0A0A0MRF8;P18621-2;J3KRB3;A0A087WWH0;J3QS96";60S ribosomal protein L17;;;;;;;;;;;;
RPL18;25.57254;21.94013;23.804;19.90439;24.97513;18.51013;24.8769;23.86287;24.79605;22.81699;23.74366;23.23903;22.92054;23.67906;24.04218;23.35958;22.51732;23.1978;23.92071;24.16576;24.6345;22.71998;21.27264;23.68614;11;11;0;58.091;5473300000;146;"Q07020;J3QQ67;G3V203;H0YHA7;Q07020-2;F8VYV2;A0A075B7A0;F8VUA6;F8VXR6";"Q07020;J3QQ67;G3V203;H0YHA7;Q07020-2;F8VYV2;A0A075B7A0;F8VUA6";60S ribosomal protein L18;;;;;;;;;;;;
RPL18A;24.47017;20.4806;22.43837;18.85297;23.95207;20.68183;23.85148;22.18659;23.20915;21.73161;21.95344;22.27247;21.16312;20.32103;20.17877;22.5472;21.28161;22.13856;22.67038;22.73063;25.02593;19.98815;18.04078;22.88407;15;15;0;60.348;2215400000;128;"Q02543;M0R117;M0R3D6;M0R1A7;M0R0P7";"Q02543;M0R117;M0R3D6;M0R1A7;M0R0P7";60S ribosomal protein L18a;;;;;;;;;;;;
RPL19;24.73815;18.93043;23.30313;18.09661;22.8877;19.34036;21.28382;22.27972;22.49089;18.703;22.25609;21.04833;16.76967;22.33952;21.94764;20.67168;20.89571;21.99607;22.69462;22.46585;23.21907;21.30619;20.1322;21.83588;10;10;0;52.601;1619300000;75;"P84098;J3QR09;J3KTE4;J3QL15";"P84098;J3QR09;J3KTE4;J3QL15";"60S ribosomal protein L19;Ribosomal protein L19";;;;;;;;;;;;
RPL21;23.22515;21.21163;22.55677;20.11367;23.5341;18.44967;20.2149;21.60793;22.55644;20.8659;20.38596;19.46487;20.29536;21.90319;20.66127;20.83314;20.80719;21.19226;22.08184;18.98174;22.86429;20.67444;19.49898;21.06243;5;5;0;16.121;1022600000;47;"P46778;G3V1B3;M0R181";"P46778;G3V1B3;M0R181";60S ribosomal protein L21;;;;;;;;;;;;
RPL22;22.97381;22.02722;21.70898;19.49209;22.17947;19.16655;19.12482;22.23596;22.14895;21.19736;22.34066;20.23935;20.94521;22.24994;19.11273;18.96224;19.3583;21.6817;19.95518;20.92332;23.9061;20.045;20.16607;21.15592;7;7;0;33.718;876300000;54;"P35268;K7EMH1;K7ERI7;K7ELC4;K7EP65;K7EKS7;K7EJT5;Q6P5R6;C9JYQ9;H0Y8C2";"P35268;K7EMH1;K7ERI7;K7ELC4;K7EP65;K7EKS7";60S ribosomal protein L22;;;;;;;;;;;;
RPL23;23.57808;22.00775;22.26393;18.90124;23.40847;17.70224;22.78889;24.33354;25.2285;22.05454;22.08774;22.46132;22.66867;23.2437;21.81053;22.27438;21.50499;23.30563;22.18966;22.2338;24.87736;21.85323;17.53444;23.58852;9;9;0;42.38;2166900000;111;"P62829;C9JD32;J3KT29;B9ZVP7;J3KTJ3;J3QQT9";"P62829;C9JD32;J3KT29;B9ZVP7";60S ribosomal protein L23;;;;;;;;;;;;
RPL23A;24.84962;22.20114;22.54776;20.67185;24.00967;19.84251;21.79206;23.36252;23.63201;21.65067;22.32669;20.11756;21.56802;23.50264;18.88196;16.25622;21.46109;24.2398;23.26714;22.81124;23.5686;24.12282;21.73269;24.23513;11;11;0;29.951;2408200000;102;"P62750;H7BY10;K7EJV9;K7ERT8;A8MUS3;K7EMA7";"P62750;H7BY10;K7EJV9;K7ERT8;A8MUS3;K7EMA7";60S ribosomal protein L23a;;;;;;;;;;;;
RPL24;23.60964;20.71381;21.79836;18.07887;22.9785;19.34147;22.29902;22.53699;23.40912;20.84682;20.68398;21.65718;20.84498;21.3566;20.00977;21.73293;20.3955;22.39582;21.98961;20.52596;23.81363;21.27076;19.74177;21.66722;7;7;0;15.144;1258900000;65;"P83731;C9JXB8;C9JNW5";"P83731;C9JXB8;C9JNW5";60S ribosomal protein L24;;;;;;;;;;;;
"RPL26;RPL26L1";24.13548;21.35078;21.56626;18.63786;22.10623;18.65773;19.91663;21.99879;21.98617;19.92484;21.88725;19.28347;20.17023;22.00007;20.19135;19.53613;18.61691;20.84965;20.02066;21.23906;21.87748;20.06461;20.29195;21.28116;12;2;0;16.981;906330000;48;"P61254;J3QRI7;J3QQQ9;J3QQV1;J3KTJ8;E5RIT6;J3QRC4;J3KSS0;E5RHH1;J3KS10";"P61254;J3QRI7;J3QQQ9;J3QQV1;J3KTJ8;E5RIT6;J3QRC4";60S ribosomal protein L26;;;;;;;;;;;;
RPL27;24.94387;21.0314;22.06825;17.69835;23.56221;20.4514;21.12969;22.69982;23.46226;20.84146;21.50983;21.37915;19.95844;22.14672;21.12155;21.40041;19.89304;20.8511;21.71649;19.12375;23.35676;21.79994;19.56793;22.4807;8;8;0;52.59;1677300000;99;"P61353;K7ELC7;K7EQQ9;K7ERY7";"P61353;K7ELC7;K7EQQ9";60S ribosomal protein L27;;;;;;;;;;;;
RPL27A;23.61133;22.02276;22.64159;19.37628;23.09581;19.46323;20.73471;21.09899;22.94844;21.63524;22.23544;22.22013;22.38055;22.19746;21.59108;21.98301;19.58239;21.71402;22.11699;23.7383;23.21957;21.41921;20.54397;21.91287;10;10;0;28.036;1478900000;88;"P46776;E9PLL6;E9PJD9;E9PLX7";"P46776;E9PLL6;E9PJD9";60S ribosomal protein L27a;;;;;;;;;;;;
RPL28;23.31576;22.52972;23.826;17.54311;24.16069;21.09365;23.21675;22.62408;23.54946;22.97346;23.09862;22.64328;22.63023;22.75801;19.73475;21.45327;20.60874;23.30563;22.66988;23.68024;24.06825;21.62961;19.79181;23.13057;10;10;0;81.942;2325200000;95;"P46779;H0YKD8;P46779-2;P46779-3;H0YMF4;P46779-4;P46779-5;H0YLP6";"P46779;H0YKD8;P46779-2;P46779-3;H0YMF4;P46779-4;P46779-5;H0YLP6";60S ribosomal protein L28;;;;;;;;;;;;
RPL3;25.6006;22.41777;23.96807;21.43278;25.42467;20.31318;23.41338;23.64053;25.28563;21.2338;23.22285;22.37366;21.64926;23.30633;21.7536;22.02786;21.64267;24.70888;24.47896;24.36252;25.25703;21.85331;19.77014;24.8319;24;24;0;166.34;4701700000;190;"P39023;G5E9G0;H7C422;B5MCW2;H7C3M2;F8WCR1;Q92901";"P39023;G5E9G0;H7C422;B5MCW2";60S ribosomal protein L3;;;;;;;;;;;;
RPL30;24.3396;20.64386;22.08716;20.22635;22.51516;16.77118;23.26141;22.28028;22.19126;20.93503;20.0899;19.37914;20.82205;20.97967;19.71069;22.49189;19.72206;22.78453;20.56291;22.31973;23.19738;19.6289;19.21217;21.05656;11;11;0;68.016;1418200000;90;"P62888;E5RI99;E5RJH3;A0A0C4DH44;A0A0B4J213";"P62888;E5RI99";60S ribosomal protein L30;;;;;;;;;;;;
RPL31;24.66817;17.31209;20.65718;15.95444;22.26811;18.93012;20.27674;22.54453;22.12038;20.04913;20.6999;17.71798;19.70389;21.9733;19.39005;18.98117;19.4951;21.48183;21.61863;21.11012;22.1753;20.6977;17.4143;21.36046;7;7;0;8.7405;919900000;32;"P62899;P62899-3;P62899-2;H7C2W9;C9JU56;B7Z4E3;B7Z4C8;B8ZZK4";"P62899;P62899-3;P62899-2;H7C2W9;C9JU56;B7Z4E3;B7Z4C8;B8ZZK4";60S ribosomal protein L31;;;;;;;;;;;;
RPL32;23.45312;21.16889;21.76503;18.84278;22.72611;18.06934;22.50952;20.65779;22.16171;21.07777;20.48158;21.41602;20.17231;21.70472;20.9231;21.54962;21.30558;22.43695;22.23491;21.87676;23.33129;21.80448;20.09404;22.16736;10;10;0;24.067;1320600000;81;"P62910;D3YTB1;F8W727";"P62910;D3YTB1;F8W727";60S ribosomal protein L32;;;;;;;;;;;;
RPL34;22.31197;21.71971;21.85438;20.43339;22.32773;19.62216;20.87568;21.18598;21.95333;21.33205;21.86699;18.71572;20.2018;18.38243;20.25488;20.23894;20.16445;23.29796;23.23962;20.94213;22.59894;20.62132;15.01167;21.6333;8;8;0;11.333;826980000;43;P49207;P49207;60S ribosomal protein L34;;;;;;;;;;;;
RPL35A;23.90738;18.13815;17.15201;16.95442;22.92926;18.43035;22.0355;21.99113;22.29846;20.82159;20.79106;20.4339;20.90969;21.42562;19.79149;20.12692;19.99369;21.09828;22.02208;23.70261;23.61032;20.8732;19.65657;21.89848;9;9;0;11.482;1136100000;53;"P18077;F8WBS5;F8WB72;C9K025";"P18077;F8WBS5;F8WB72;C9K025";60S ribosomal protein L35a;;;;;;;;;;;;
RPL4;26.60682;23.28926;25.12625;19.40371;26.19865;20.0654;25.7958;24.90766;26.18879;23.30828;23.86552;23.73014;23.44304;23.70988;24.21059;24.3025;22.70843;24.48296;24.27966;25.00342;25.59298;23.88194;20.97239;24.8839;34;34;0;265.58;10253000000;380;"P36578;H3BM89;H3BTP7;H3BU31";"P36578;H3BM89";60S ribosomal protein L4;;;;;;;;;;;;
RPL5;25.22964;22.23433;23.09294;20.6014;23.9208;21.44683;24.65316;23.51437;23.92967;22.22623;23.14012;21.98433;22.81135;23.10422;22.45874;22.96063;21.92955;23.28008;23.1431;23.62556;23.63234;21.5833;21.1354;22.82545;19;19;0;137.8;3633300000;206;"P46777;Q5T7N0";P46777;60S ribosomal protein L5;;;;;;;;;;;;
RPL6;26.64856;23.43237;24.36573;19.76869;25.33726;21.31705;24.85186;24.48376;24.79902;22.68061;23.56162;21.7634;23.33429;24.28306;23.21413;22.82825;22.89951;24.88507;24.79734;24.86259;25.59386;23.58038;21.5775;24.74073;20;17;0;106.36;7839800000;236;"Q02878;F8VZ45;U3KQR5;F8VZA3;F8VWR1;F8VU16";Q02878;60S ribosomal protein L6;;;;;;;;;;;;
RPL7;26.63533;23.37332;23.95456;19.41908;26.16381;19.55048;24.81358;24.07235;25.3281;22.55826;23.35192;22.52924;23.12452;24.61515;23.99412;24.14305;23.87221;25.33776;25.15954;25.40474;25.86722;23.02913;21.12263;25.16246;25;25;0;235.63;9229700000;303;"P18124;A8MUD9;C9JIJ5;C9JZ88";"P18124;A8MUD9";60S ribosomal protein L7;;;;;;;;;;;;
RPL7A;26.1251;22.07871;23.77565;18.53646;25.60232;17.0703;23.86391;24.7893;25.39548;23.08982;22.52834;21.74218;22.91763;24.45976;24.17638;23.47605;23.22808;24.95007;24.85581;23.55051;26.1353;22.82425;20.48886;25.00505;21;9;0;160.92;6879900000;240;"P62424;Q5T8U2";"P62424;Q5T8U2";60S ribosomal protein L7a;;;;;;;;;;;;
RPL8;25.31181;23.70409;23.21954;18.57296;24.90587;17.89612;21.73207;23.62288;24.75832;22.88969;22.19376;21.08161;22.38545;23.94958;21.73583;22.1818;21.56551;23.94396;23.39257;23.26213;24.65387;22.86372;19.25077;24.39604;18;18;0;267.33;3600300000;117;"P62917;E9PKZ0;E9PKU4;G3V1A1;E9PP36";"P62917;E9PKZ0;E9PKU4;G3V1A1";60S ribosomal protein L8;;;;;;;;;;;;
RPL9;24.19114;21.29709;22.35035;22.95905;23.15298;17.62751;23.17714;22.80898;23.42047;20.71607;20.99016;22.19196;21.73575;22.52411;22.5885;23.01083;19.78075;21.19099;19.3563;21.12698;23.94378;17.57533;17.86657;21.3672;8;8;0;215.75;1692300000;103;"P32969;D6RAN4;H0Y9V9;E7ESE0;H0Y9R4";"P32969;D6RAN4;H0Y9V9;E7ESE0";60S ribosomal protein L9;;;;;;;;;;;;
"RPLP0;RPLP0P6";25.44111;22.73847;23.62556;20.1673;24.84876;22.259;25.2738;24.79496;24.48653;22.36802;22.66368;24.52385;23.95793;23.64801;24.05854;23.64845;21.79812;24.8615;24.41293;25.22876;26.00292;23.52193;21.19364;25.39529;20;20;0;323.31;7377400000;289;"P05388;F8VWS0;P05388-2;F8VU65;F8VW21;F8VPE8;G3V210;F8VQY6;F8VRK7;F8VZS0;Q8NHW5;F8VWV4;F8VS58;F8W1K8";"P05388;F8VWS0;P05388-2;F8VU65;F8VW21;F8VPE8;G3V210;F8VQY6;F8VRK7;F8VZS0;Q8NHW5;F8VWV4;F8VS58";"60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like";;;;;;;;;;;;
RPLP2;27.80008;26.88099;24.3532;19.0718;26.40654;22.58334;25.4883;27.01105;26.00434;23.88902;23.85871;25.55815;25.95704;24.94918;25.35053;24.42924;23.15388;25.93161;23.33674;25.96404;25.98967;24.54922;23.29151;26.1711;15;14;0;323.31;16771000000;357;"P05387;H0YDD8;P05386-2";P05387;60S acidic ribosomal protein P2;;;;;;;;;;;;
RPN1;28.63124;23.39689;25.85588;23.21777;27.2516;22.77914;25.91909;27.47421;27.18858;24.03901;23.97631;23.48062;22.69085;26.0273;23.6446;25.07721;25.27046;24.53896;24.35124;25.79151;27.68572;24.40834;21.90529;25.65676;52;52;0;323.31;22406000000;644;"P04843;B7Z4L4;F8WF32";"P04843;B7Z4L4";Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1;;;;;;;;;;;;
RPN2;28.22545;22.40413;25.68188;21.25055;26.67761;21.71045;25.29537;27.02918;26.84254;24.38232;22.43535;22.84566;21.97659;25.30212;22.8364;24.30424;24.63777;23.83103;22.84638;25.05908;27.16327;23.3306;19.51372;25.20844;29;29;0;323.31;14471000000;352;"P04844;P04844-2;Q5JYR7;Q5JYR4;F2Z3K5;Q5JYR3;H0Y5M1";"P04844;P04844-2";Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2;;;;;;;;;;;;
"RPS10-NUDT3;RPS10";22.27555;19.89895;21.81987;18.85656;22.63564;19.05459;22.27728;21.77104;22.31601;22.5192;22.63584;22.45262;22.56567;22.66802;19.91589;20.27901;21.21264;22.30519;22.17889;22.35719;23.12206;20.98245;18.19093;22.24138;10;0;0;130.59;1592800000;97;"S4R435;F6U211";"S4R435;F6U211";;;;;;;;;;;;;
RPS11;24.9983;21.35612;23.5285;17.97701;24.9812;20.52812;22.90121;23.29292;24.09265;21.99013;22.58923;23.52373;22.08987;23.4108;22.23436;22.83393;21.04414;24.61341;22.76581;23.28093;25.21915;22.21588;19.50642;23.24994;17;17;0;28.507;3575200000;130;"P62280;M0QZC5;M0R1H6;M0R1H5";"P62280;M0QZC5";40S ribosomal protein S11;;;;;;;;;;;;
RPS12;23.96851;21.90283;21.99931;19.6171;22.35861;21.46024;23.40691;24.073;23.2727;21.23116;21.72417;22.38306;21.77221;22.15128;21.14849;22.1053;20.94385;23.85776;21.84437;20.66458;23.16039;19.2115;19.30399;21.85521;13;13;0;323.31;1525100000;101;P25398;P25398;40S ribosomal protein S12;;;;;;;;;;;;
RPS13;25.70411;23.35246;24.29263;17.25595;24.9371;18.10871;24.93012;24.10021;24.54539;22.90073;23.54734;19.89242;22.38282;24.64361;23.05182;23.81363;22.11356;25.37739;24.25256;23.99516;24.83856;23.43517;22.16266;24.78022;14;14;0;69.941;5954800000;202;"P62277;J3KMX5;E9PS50";"P62277;J3KMX5";40S ribosomal protein S13;;;;;;;;;;;;
RPS14;23.47209;23.44291;22.75908;18.13293;23.59798;19.13762;22.75383;22.46159;22.841;22.37387;23.67098;22.9679;22.16395;23.73417;20.81174;18.34109;20.65071;22.52738;22.15906;22.80485;24.26263;22.8031;21.1742;23.96429;11;11;0;132.29;2218600000;143;"P62263;H0YB22;E5RH77";"P62263;H0YB22;E5RH77";40S ribosomal protein S14;;;;;;;;;;;;
RPS15A;25.26449;20.76466;23.16881;20.45051;24.57882;20.44658;23.1185;22.84682;23.92624;21.25142;22.08923;23.41931;21.9533;23.50797;23.23273;22.70364;22.46854;23.74355;22.88021;23.15778;25.56517;20.19027;19.94764;23.19372;13;7;0;74.654;3857000000;170;"P62244;I3L3P7;I3L246;H3BV27;H3BT37;I3L303;H3BVC7";"P62244;I3L3P7;I3L246";40S ribosomal protein S15a;;;;;;;;;;;;
"RPS16;ZNF90";25.37978;23.38982;23.91187;20.14345;25.86585;15.66551;23.78127;24.00093;24.69795;22.51718;22.90995;24.65611;23.59126;24.62165;23.42586;24.2094;22.83366;24.84508;23.09568;23.16991;26.29102;23.04713;22.20183;25.03376;13;13;0;58.918;6096500000;259;"P62249;M0R210;A0A087WZ27;M0R3H0;M0R1M5;M0QX76;Q6IPX4";"P62249;M0R210;A0A087WZ27;M0R3H0;M0R1M5";40S ribosomal protein S16;;;;;;;;;;;;
RPS17;23.11488;20.53573;21.31296;20.92202;21.95422;18.70994;21.45423;20.50572;22.68885;22.50325;20.71557;18.08243;20.47497;21.81952;20.93855;20.73876;18.5808;22.37093;22.29289;18.51539;23.99213;21.48365;16.84293;23.71565;11;11;0;323.31;1216300000;58;"P08708;H0YN88;A0A075B716;H0YN73;H3BNC9";"P08708;H0YN88;A0A075B716;H0YN73";40S ribosomal protein S17;;;;;;;;;;;;
RPS18;24.76299;22.9443;23.61223;19.00884;25.33112;21.29631;23.64295;23.53991;24.30883;22.39462;23.57068;24.81495;23.57103;24.4518;23.21085;23.3573;22.82755;25.42352;24.15097;24.83273;26.0972;24.292;22.03681;26.21786;21;21;0;121.27;6694400000;239;"P62269;A0A0G2JQH2;Q5GGW2;J3JS69";P62269;40S ribosomal protein S18;;;;;;;;;;;;
RPS19;23.70778;24.20307;21.0408;17.50293;23.24233;17.66482;22.26645;24.42053;24.02589;21.6034;23.2781;19.2997;20.0481;23.01822;19.60673;19.33623;21.42265;23.80016;22.39373;19.99328;23.64801;22.83291;20.32564;25.44041;13;13;0;143.52;2280200000;129;"P39019;M0R2L9;M0QXK4;M0QYF7;M0R140;A0A075B6E2";"P39019;M0R2L9;M0QXK4;M0QYF7;M0R140";40S ribosomal protein S19;;;;;;;;;;;;
RPS2;25.98292;23.23997;24.46364;19.26765;25.87807;20.8714;24.62751;24.12652;25.23323;22.73401;23.58497;25.14507;23.46911;23.83258;23.08205;23.57934;23.25523;24.91925;24.72432;24.65927;26.57845;22.67977;20.72409;25.01193;18;18;0;125.26;7994800000;241;"P15880;H0YEN5;E9PQD7;E9PMM9;I3L404;E9PM36;E9PPT0;H3BNG3;H0YE27";"P15880;H0YEN5;E9PQD7;E9PMM9;I3L404;E9PM36;E9PPT0";40S ribosomal protein S2;;;;;;;;;;;;
RPS20;22.62076;22.22635;22.14367;19.32431;22.61672;18.73185;21.93496;23.00419;22.82316;21.72833;22.74109;21.89201;21.63909;22.62524;21.85859;21.172;22.05408;22.59908;21.87643;19.50462;24.4716;22.01049;17.38272;23.27156;8;8;0;28.418;1483500000;80;"P60866;P60866-2;E5RJX2;E5RIP1;G3XAN0";"P60866;P60866-2;E5RJX2;E5RIP1";40S ribosomal protein S20;;;;;;;;;;;;
RPS21;22.90802;21.92045;20.70303;17.38468;20.86816;18.55387;19.71895;22.92875;22.74757;21.58316;21.54317;19.1418;20.48158;20.92172;20.45964;17.9778;19.02599;22.8652;20.37252;19.63272;21.90929;20.24795;15.64639;21.96976;7;7;0;29.692;620290000;51;"P63220;Q8WVC2;Q9BYK1;Q9BYK2";"P63220;Q8WVC2;Q9BYK1";40S ribosomal protein S21;;;;;;;;;;;;
RPS23;23.77304;20.47813;22.42319;17.4513;23.00534;18.54733;20.70835;22.25272;22.99736;20.46234;21.7776;21.03517;20.9561;22.35313;19.95674;19.77312;18.72215;24.15035;22.83277;18.33981;24.15954;20.75979;16.70302;22.63458;5;5;0;14.214;1371000000;66;"P62266;D6RD47;D6RDJ2;D6RIX0;D6R9I7";"P62266;D6RD47";40S ribosomal protein S23;;;;;;;;;;;;
RPS24;23.71607;21.14009;22.57741;15.70444;23.73231;18.49834;22.1021;21.41462;23.18932;20.45473;16.08093;21.50111;21.10258;22.42517;21.73665;21.5242;20.83245;22.49485;21.19196;21.3374;22.28523;21.3819;16.48866;22.96946;6;6;0;24.042;1712000000;97;"P62847;E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847-4";"P62847;E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847-4";40S ribosomal protein S24;;;;;;;;;;;;
RPS25;23.30368;23.29544;22.38166;19.09243;22.46817;19.08562;20.59113;23.32787;23.1305;21.40976;22.79614;21.53051;21.55032;23.59161;21.68821;22.32482;21.45994;23.63345;22.27025;21.19448;24.08724;22.74493;21.10072;24.13218;7;7;0;35.043;1734700000;82;P62851;P62851;40S ribosomal protein S25;;;;;;;;;;;;
RPS27;23.03892;21.45568;22.72717;15.6589;23.69785;20.16352;22.96323;21.84215;22.54983;21.65727;22.25456;22.69521;21.9835;22.93614;21.69196;21.19821;20.45352;22.19313;20.90691;21.90371;24.17211;21.01243;16.56495;22.5861;6;3;0;30.638;1763500000;86;"P42677;Q5T4L4";"P42677;Q5T4L4";40S ribosomal protein S27;;;;;;;;;;;;
RPS27A;24.71329;25.39542;26.55907;26.81482;24.52247;25.61602;25.01005;24.62277;24.32217;26.35377;24.62929;24.45632;23.62266;24.27363;23.31396;25.57508;23.58164;24.85119;24.97618;24.78057;24.11339;24.41377;22.94559;25.52301;12;3;0;289.9;12764000000;573;P62979;P62979;"Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a";;;;;;;;;;;;
